PASSENGERS,Passenger Miles,CARRIER_NAME-ORIGIN_CITY_NAME-DEST_CITY_NAME,CARRIER_NAME,ORIGIN_CITY_NAME,DEST_CITY_NAME,ORIGIN_LATITUDE,ORIGIN_LONGITUDE,DEST_LATITUDE,DEST_LONGITUDE
297772,207547084,"Alaska Airlines Inc.-San Jose, CA-Seattle, WA Total Total",Alaska Airlines Inc.,"San Jose, CA","Seattle, WA",37.3361663,-121.890591,47.6038321,-122.330062
297719,379889444,"Delta Air Lines Inc.-Minneapolis, MN-Phoenix, AZ Total Total",Delta Air Lines Inc.,"Minneapolis, MN","Phoenix, AZ",44.9772995,-93.2654692,33.4484367,-112.074141
297096,109925520,"Southwest Airlines Co.-Phoenix, AZ-Los Angeles, CA Total Total",Southwest Airlines Co.,"Phoenix, AZ","Los Angeles, CA",33.4484367,-112.074141,34.0536909,-118.242766
296943,332279217,"American Airlines Inc.-Fort Lauderdale, FL-Dallas/Fort Worth, TX Total Total",American Airlines Inc.,"Fort Lauderdale, FL","Dallas/Fort Worth, TX",26.1223084,-80.1433786,32.8369894,-97.033926
296882,132706254,"American Airlines Inc.-New Orleans, LA-Dallas/Fort Worth, TX Total Total",American Airlines Inc.,"New Orleans, LA","Dallas/Fort Worth, TX",29.9559145,-90.0730259,32.8369894,-97.033926
296531,332411251,"JetBlue Airways-Boston, MA-Orlando, FL Total Total",JetBlue Airways,"Boston, MA","Orlando, FL",42.3554334,-71.060511,28.5421109,-81.3790304
296136,304427808,"American Airlines Inc.-Cancun, Mexico-Dallas/Fort Worth, TX Total Total",American Airlines Inc.,"Cancun, Mexico","Dallas/Fort Worth, TX",21.1527467,-86.8425761,32.8369894,-97.033926
296014,162807700,"American Airlines Inc.-St. Louis, MO-Dallas/Fort Worth, TX Total Total",American Airlines Inc.,"St. Louis, MO","Dallas/Fort Worth, TX",38.6280278,-90.1910154,32.8369894,-97.033926
296011,69858596,"American Airlines Inc.-Las Vegas, NV-Los Angeles, CA Total Total",American Airlines Inc.,"Las Vegas, NV","Los Angeles, CA",36.1674263,-115.1484131,34.0536909,-118.242766
295997,177302203,"American Airlines Inc.-Charlotte, NC-Chicago, IL Total Total",American Airlines Inc.,"Charlotte, NC","Chicago, IL",35.2272086,-80.8430827,41.8755616,-87.6244212
